sample_time,phase,instance_id,pdb_name,service_name,cpu_cores,aas,db_cpu_aas,wait_aas,host_cpu_pct,os_run_queue,top_wait,physical_reads_blocks_s,single_block_ms,temp_io_ms,pga_cache_hit_pct,workarea_onepass_s,workarea_multipass_s,temp_gb_h,buffer_hit_pct,logical_reads_blocks_s,hard_parses_s,soft_parse_pct,redo_mb_s,user_commits_s,log_file_sync_ms,log_file_parallel_write_ms,batch_rows_s,merge_dbtime_pct,literal_group_dbtime_pct,other_dbtime_pct
2026-07-15T09:00,B0,1,PERFLAB,PERFLAB_SVC,8,2.15,1.33,0.82,28.7,1.1,db file sequential read,1845,4.1,6.1,96.5,2,0,0.2,98.5,43041,1.2,99.4,3.1,92,2.2,1.6,1947,12,4,84
2026-07-15T09:01,B0,1,PERFLAB,PERFLAB_SVC,8,2.09,1.29,0.79,27.8,1.1,db file sequential read,1789,4.0,6.0,97.1,2,0,0.2,98.8,41732,1.2,99.8,3.0,89,2.1,1.6,1888,12,4,84
2026-07-15T09:02,B0,1,PERFLAB,PERFLAB_SVC,8,2.05,1.27,0.78,27.4,1.1,db file sequential read,1758,3.9,5.9,97.5,2,0,0.2,98.9,41028,1.2,100.0,2.9,88,2.1,1.6,1856,12,4,84
2026-07-15T09:03,B0,1,PERFLAB,PERFLAB_SVC,8,2.13,1.32,0.81,28.3,1.1,db file sequential read,1822,4.0,6.1,96.8,2,0,0.2,98.6,42519,1.2,99.6,3.0,91,2.1,1.6,1923,12,4,84
2026-07-15T09:04,B0,1,PERFLAB,PERFLAB_SVC,8,2.14,1.33,0.82,28.6,1.1,db file sequential read,1836,4.1,6.1,96.6,2,0,0.2,98.5,42838,1.2,99.5,3.1,92,2.1,1.6,1938,12,4,84
2026-07-15T09:05,B0,1,PERFLAB,PERFLAB_SVC,8,2.06,1.28,0.79,27.5,1.1,db file sequential read,1769,3.9,5.9,97.3,2,0,0.2,98.9,41265,1.2,99.9,2.9,88,2.1,1.6,1867,12,4,84
2026-07-15T09:06,B0,1,PERFLAB,PERFLAB_SVC,8,2.07,1.28,0.79,27.6,1.1,db file sequential read,1772,3.9,5.9,97.3,2,0,0.2,98.9,41351,1.2,99.9,3.0,89,2.1,1.6,1871,12,4,84
2026-07-15T09:07,B0,1,PERFLAB,PERFLAB_SVC,8,2.15,1.33,0.82,28.6,1.1,db file sequential read,1839,4.1,6.1,96.6,2,0,0.2,98.5,42902,1.2,99.4,3.1,92,2.1,1.6,1941,12,4,84
2026-07-15T09:08,B0,1,PERFLAB,PERFLAB_SVC,8,2.12,1.31,0.81,28.3,1.1,db file sequential read,1818,4.0,6.1,96.8,2,0,0.2,98.6,42417,1.2,99.6,3.0,91,2.1,1.6,1919,12,4,84
2026-07-15T09:09,B0,1,PERFLAB,PERFLAB_SVC,8,2.05,1.27,0.78,27.3,1.1,db file sequential read,1757,3.9,5.9,97.5,2,0,0.2,98.9,40991,1.2,100.0,2.9,88,2.0,1.6,1854,12,4,84
