phase,sql_id,force_matching_signature,sql_label,module,action,plan_hash_value,db_time_s,db_time_pct,cpu_time_s,executions,parse_calls,buffer_gets,disk_reads,rows_processed,temp_mb
B0,9u1m3rg3a0b1x,918273645001,SETTLEMENT_MERGE,SETTLEMENT,MERGE_BATCH,4289017712,453.8,12.0,281.1,648,72,9075413,388951,410558,12.3
B0,1it3ra1000001,771122330099,LITERAL_LOOKUP_T01,SETTLEMENT,LOOKUP_LITERAL,1765432109,51.4,1.4,31.9,734,8,1028547,44081,46530,1.4
B0,1it3ra1000002,771122330099,LITERAL_LOOKUP_T02,SETTLEMENT,LOOKUP_LITERAL,1765432109,49.9,1.3,30.9,713,8,998295,42785,45161,1.4
B0,1it3ra1000003,771122330099,LITERAL_LOOKUP_T03,SETTLEMENT,LOOKUP_LITERAL,1765432109,49.9,1.3,30.9,713,8,998295,42785,45161,1.4
B0,0th3rn015e001,555000111222,NORMAL_ORDER_API,ORDER_API,NORMAL_TX,990011223,3176.7,84.0,1967.6,45360,504,63527890,2722658,2873909,86.0
T1,9u1m3rg3a0b1x,918273645001,SETTLEMENT_MERGE,SETTLEMENT,MERGE_BATCH,4289017712,533.3,34.0,348.6,306,34,9435755,441028,369220,72.5
T1,1it3ra1000001,771122330099,LITERAL_LOOKUP_T01,SETTLEMENT,LOOKUP_LITERAL,1765432109,165.3,10.5,108.1,949,949,2925084,136719,114458,22.5
T1,1it3ra1000002,771122330099,LITERAL_LOOKUP_T02,SETTLEMENT,LOOKUP_LITERAL,1765432109,160.4,10.2,104.9,921,921,2839052,132697,111092,21.8
T1,1it3ra1000003,771122330099,LITERAL_LOOKUP_T03,SETTLEMENT,LOOKUP_LITERAL,1765432109,160.4,10.2,104.9,921,921,2839052,132697,111092,21.8
T1,0th3rn015e001,555000111222,NORMAL_ORDER_API,ORDER_API,NORMAL_TX,990011223,548.9,35.0,358.9,3150,35,9713277,453999,380079,74.7
T2,9u1m3rg3a0b1x,918273645001,SETTLEMENT_MERGE,SETTLEMENT,MERGE_BATCH,4289017712,2381.1,45.0,1449.9,648,72,41122593,1947942,1125495,738.0
T2,1it3ra1000001,771122330099,LITERAL_LOOKUP_T01,SETTLEMENT,LOOKUP_LITERAL,1765432109,485.8,9.2,295.8,1322,1322,8389009,397380,229601,150.6
T2,1it3ra1000002,771122330099,LITERAL_LOOKUP_T02,SETTLEMENT,LOOKUP_LITERAL,1765432109,471.5,8.9,287.1,1283,1283,8142273,385693,222848,146.1
T2,1it3ra1000003,771122330099,LITERAL_LOOKUP_T03,SETTLEMENT,LOOKUP_LITERAL,1765432109,471.5,8.9,287.1,1283,1283,8142273,385693,222848,146.1
T2,0th3rn015e001,555000111222,NORMAL_ORDER_API,ORDER_API,NORMAL_TX,990011223,1481.6,28.0,902.2,4032,45,25587391,1212053,700308,459.2
T3,9u1m3rg3a0b1x,918273645001,SETTLEMENT_MERGE,SETTLEMENT,MERGE_BATCH,4289017712,6694.8,58.0,2593.6,1253,139,129706838,10041818,2301289,5474.0
T3,1it3ra1000001,771122330099,LITERAL_LOOKUP_T01,SETTLEMENT,LOOKUP_LITERAL,1765432109,627.9,5.4,243.3,1175,1175,12165607,941853,215845,513.4
T3,1it3ra1000002,771122330099,LITERAL_LOOKUP_T02,SETTLEMENT,LOOKUP_LITERAL,1765432109,609.5,5.3,236.1,1140,1140,11807795,914152,209497,498.3
T3,1it3ra1000003,771122330099,LITERAL_LOOKUP_T03,SETTLEMENT,LOOKUP_LITERAL,1765432109,609.5,5.3,236.1,1140,1140,11807795,914152,209497,498.3
T3,0th3rn015e001,555000111222,NORMAL_ORDER_API,ORDER_API,NORMAL_TX,990011223,3001.1,26.0,1162.7,5616,62,58144445,4501505,1031612,2453.8
T4,9u1m3rg3a0b1x,918273645001,SETTLEMENT_MERGE,SETTLEMENT,MERGE_BATCH,4289017712,10597.3,58.0,3737.2,1670,186,164535235,12270410,2844482,6821.2
T4,1it3ra1000001,771122330099,LITERAL_LOOKUP_T01,SETTLEMENT,LOOKUP_LITERAL,1765432109,994.0,5.4,350.5,1567,1567,15432270,1150880,266793,639.8
T4,1it3ra1000002,771122330099,LITERAL_LOOKUP_T02,SETTLEMENT,LOOKUP_LITERAL,1765432109,964.7,5.3,340.2,1521,1521,14978380,1117030,258946,621.0
T4,1it3ra1000003,771122330099,LITERAL_LOOKUP_T03,SETTLEMENT,LOOKUP_LITERAL,1765432109,964.7,5.3,340.2,1521,1521,14978380,1117030,258946,621.0
T4,0th3rn015e001,555000111222,NORMAL_ORDER_API,ORDER_API,NORMAL_TX,990011223,4750.5,26.0,1675.3,7488,83,73757174,5500529,1275113,3057.8
R1,9u1m3rg3a0b1x,918273645001,SETTLEMENT_MERGE,SETTLEMENT,MERGE_BATCH,4289017712,1806.5,43.0,1083.6,774,86,27095341,1857961,1754787,404.4
R1,1it3ra1000001,771122330099,LITERAL_LOOKUP_T01,SETTLEMENT,LOOKUP_LITERAL,1765432109,114.3,2.7,68.5,490,490,1713938,117527,111000,25.6
R1,1it3ra1000002,771122330099,LITERAL_LOOKUP_T02,SETTLEMENT,LOOKUP_LITERAL,1765432109,110.9,2.6,66.5,475,475,1663528,114070,107736,24.8
R1,1it3ra1000003,771122330099,LITERAL_LOOKUP_T03,SETTLEMENT,LOOKUP_LITERAL,1765432109,110.9,2.6,66.5,475,475,1663528,114070,107736,24.8
R1,0th3rn015e001,555000111222,NORMAL_ORDER_API,ORDER_API,NORMAL_TX,990011223,2058.6,49.0,1234.8,8820,98,30876086,2117212,1999641,460.8
